,Forecast,Lower_CI,Upper_CI
2026-09-16,418.0774564129718,385.23179262712273,450.92312019882087
2026-09-17,418.0774564129701,385.231792627121,450.92312019881916
2026-09-18,418.07745641296907,385.23179262712,450.92312019881814
2026-09-21,418.07745641296844,385.2317926271194,450.9231201988175
2026-09-22,418.0774564129681,385.23179262711903,450.9231201988172
2026-09-23,418.0774564129679,385.2317926271188,450.92312019881695
2026-09-24,418.07745641296776,385.2317926271187,450.92312019881683
2026-09-25,418.0774564129677,385.23179262711864,450.9231201988168
2026-09-28,418.07745641296765,385.2317926271186,450.9231201988167
2026-09-29,418.07745641296765,385.2317926271186,450.9231201988167
2026-09-30,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-01,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-02,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-05,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-06,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-07,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-08,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-09,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-12,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-13,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-14,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-15,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-16,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-19,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-20,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-21,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-22,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-23,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-26,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-27,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-28,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-29,418.07745641296765,385.2317926271186,450.9231201988167
2026-10-30,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-02,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-03,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-04,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-05,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-06,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-09,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-10,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-11,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-12,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-13,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-16,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-17,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-18,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-19,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-20,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-23,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-24,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-25,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-26,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-27,418.07745641296765,385.2317926271186,450.9231201988167
2026-11-30,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-01,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-02,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-03,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-04,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-07,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-08,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-09,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-10,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-11,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-14,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-15,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-16,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-17,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-18,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-21,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-22,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-23,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-24,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-25,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-28,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-29,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-30,418.07745641296765,385.2317926271186,450.9231201988167
2026-12-31,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-01,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-04,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-05,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-06,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-07,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-08,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-11,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-12,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-13,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-14,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-15,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-18,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-19,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-20,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-21,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-22,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-25,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-26,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-27,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-28,418.07745641296765,385.2317926271186,450.9231201988167
2027-01-29,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-01,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-02,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-03,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-04,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-05,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-08,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-09,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-10,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-11,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-12,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-15,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-16,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-17,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-18,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-19,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-22,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-23,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-24,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-25,418.07745641296765,385.2317926271186,450.9231201988167
2027-02-26,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-01,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-02,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-03,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-04,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-05,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-08,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-09,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-10,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-11,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-12,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-15,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-16,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-17,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-18,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-19,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-22,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-23,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-24,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-25,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-26,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-29,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-30,418.07745641296765,385.2317926271186,450.9231201988167
2027-03-31,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-01,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-02,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-05,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-06,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-07,418.07745641296765,385.2317926271186,450.9231201988167
2027-04-08,418.07745641296765,385.2317926271186,450.9231201988167
